datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:37,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:38,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:39,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:40,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:41,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:42,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:43,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:44,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:45,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:46,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:47,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:48,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:49,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:50,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:51,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:52,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:53,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:54,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:55,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:56,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:57,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:58,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:51:59,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:00,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:01,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:02,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:03,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:04,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:05,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:06,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:07,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:08,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:09,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:10,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:11,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:12,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:13,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:14,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:15,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:16,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:17,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:18,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:19,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:20,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:21,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:22,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:23,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:24,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:25,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:26,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:27,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:28,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:37,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:38,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:39,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:40,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:41,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:42,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:43,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:44,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:45,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:46,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:47,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:48,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:49,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:50,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:51,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:52,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:53,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:54,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:55,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:56,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:57,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:58,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:52:59,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:00,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:01,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:02,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:03,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:04,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:05,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:06,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:07,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:08,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:09,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:10,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:11,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:12,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:13,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:14,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:15,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:16,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:17,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:18,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:19,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:20,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:21,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:22,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:23,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:24,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:25,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:26,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:27,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:28,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:37,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:38,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:39,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:40,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:41,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:42,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:43,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:44,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:45,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:46,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:47,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:48,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:49,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:50,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:51,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:52,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:53,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:54,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:55,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:56,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:57,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:58,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:53:59,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:00,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:01,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:02,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:03,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:04,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:05,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:06,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:07,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:08,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:09,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:10,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:11,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:12,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:13,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:14,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:15,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:16,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:17,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:18,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:19,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:20,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:21,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:22,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:23,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:24,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:25,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:26,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:27,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:28,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:37,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:38,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:39,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:40,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:41,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:42,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:43,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:44,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:45,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:46,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:47,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:48,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:49,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:50,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:51,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:52,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:53,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:54,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:55,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:56,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:57,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:58,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:54:59,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:00,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:01,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:02,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:03,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:04,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:05,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:06,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:07,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:08,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:09,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:10,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:11,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:12,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:13,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:14,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:15,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:16,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:17,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:18,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:19,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:20,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:21,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:22,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:23,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:24,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:25,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:26,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:27,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:28,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:37,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:38,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:39,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:40,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:41,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:42,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:43,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:44,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:45,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:46,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:47,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:48,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:49,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:50,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:51,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:52,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:53,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:54,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:55,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:56,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:57,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:58,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:55:59,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:00,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:01,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:02,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:03,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:04,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:05,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:06,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:07,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:08,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:09,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:10,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:11,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:12,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:13,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:14,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:15,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:16,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:17,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:18,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:19,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:20,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:21,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:22,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:23,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:24,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:25,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:26,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:27,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:28,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:29,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:30,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:31,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:32,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:33,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:34,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:35,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:36,
,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0,2022-11-22 18:56:37,
